signal_id,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
MARKET-003,ownership_count,FWD,full,2.908,2.925,3.675,3.908,4.45,1.542,True,True
MARKET-003,ownership_count,FWD,early,3.703,3.056,3.111,3.833,4.486,0.784,False,False
MARKET-003,ownership_count,FWD,mid,2.672,2.877,2.965,3.982,4.596,1.924,True,True
MARKET-003,ownership_count,FWD,late,2.926,3.0,4.462,4.038,4.667,1.741,False,False
MARKET-004,purchase_price,GKP,full,2.851,3.092,3.066,3.033,3.678,0.826,False,False
MARKET-004,purchase_price,GKP,early,3.0,2.45,3.4,3.0,3.325,0.325,False,False
MARKET-004,purchase_price,GKP,mid,2.607,3.345,2.857,3.345,3.982,1.375,False,False
MARKET-004,purchase_price,GKP,late,3.16,3.84,2.44,2.88,3.36,0.2,False,False
MARKET-004,purchase_price,DEF,full,2.66,2.753,2.954,3.336,3.714,1.054,True,True
MARKET-004,purchase_price,DEF,early,2.828,2.635,2.822,3.34,3.885,1.057,False,False
MARKET-004,purchase_price,DEF,mid,2.518,2.661,2.793,3.366,3.632,1.114,True,True
MARKET-004,purchase_price,DEF,late,2.798,3.184,3.265,3.327,3.737,0.939,True,False
MARKET-004,purchase_price,MID,full,2.832,3.017,3.274,3.12,4.204,1.371,False,False
MARKET-004,purchase_price,MID,early,2.695,2.915,3.233,3.316,4.045,1.35,True,True
MARKET-004,purchase_price,MID,mid,2.933,3.042,3.186,2.933,4.239,1.307,False,False
MARKET-004,purchase_price,MID,late,2.764,3.364,3.282,3.545,4.136,1.373,False,False
MARKET-004,purchase_price,FWD,full,2.892,3.25,3.275,4.217,4.233,1.342,True,True
MARKET-004,purchase_price,FWD,early,2.919,3.806,3.556,3.694,4.243,1.324,False,False
MARKET-004,purchase_price,FWD,mid,2.534,3.175,2.86,3.93,4.596,2.062,False,False
MARKET-004,purchase_price,FWD,late,3.667,2.885,3.692,3.923,4.889,1.222,False,False
